Course_courseNumber,Department_idDepartment
"MSE_600","MSE"
"MSE_601","MSE"
"MSE_602","MSE"
"MSE_603","MSE"
"MSE_604","MSE"
"MSE_605","MSE"
"MSE_606","MSE"
"MSE_607","MSE"
"MSE_608","MSE"
"MSE_609","MSE"
"MSE_610","MSE"
"MSE_611","MSE"
"MSE_612","MSE"
"MSE_613","MSE"
"MSE_614","MSE"
"MSE_615","MSE"
"MSE_616","MSE"
"MS_500","MS"
"MS_501","MS"
"MS_502","MS"
"MS_503","MS"
"MS_504","MS"
"MS_505","MS"
"MS_506","MS"
"MS_507","MS"
"MS_508","MS"
"MS_509","MS"
"MS_510","MS"
"MS_511","MS"
"MS_512","MS"
"MS_513","MS"
"MS_514","MS"
"MS_515","MS"
"MS_516","MS"
